ticker,provider_symbol,company_name,sector,category,universe_tier,country,listing_exchange,exchange_symbol,reporting_currency,market_region,sec_download_eligible,global_public_download_eligible,source_sets,source_policy
6723.T,6723.T,Renesas Electronics Corporation,Information Technology,automotive_industrial_semiconductors,tier2_supply_chain_supplement,Japan,TSE,6723,JPY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
6752.T,6752.T,Panasonic Holdings Corporation,Industrials,batteries_electronics,tier2_supply_chain_supplement,Japan,TSE,6752,JPY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
6857.T,6857.T,Advantest Corporation,Information Technology,semiconductor_test_equipment,tier2_supply_chain_supplement,Japan,TSE,6857,JPY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
8035.T,8035.T,Tokyo Electron Limited,Information Technology,semiconductor_equipment,tier2_supply_chain_supplement,Japan,TSE,8035,JPY,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
IFX.DE,IFX.DE,Infineon Technologies AG,Information Technology,power_automotive_semiconductors,tier2_supply_chain_supplement,Germany,XETRA,IFX,EUR,non_us_local_listing,false,true,tier2_supply_chain_supplement|global_public_disclosure,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
A,A,Agilent Technologies,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AAPL,AAPL,Apple Inc.,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ABBV,ABBV,AbbVie,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ABNB,ABNB,Airbnb,Consumer Discretionary,Consumer Discretionary,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ABT,ABT,Abbott Laboratories,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ACGL,ACGL,Arch Capital Group,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ACLS,ACLS,AXCELIS TECHNOLOGIES INC,Information Technology,semiconductor_equipment,tier2_supply_chain_supplement,,,ACLS,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ACN,ACN,Accenture,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ADBE,ADBE,Adobe Inc.,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ADI,ADI,Analog Devices,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ADM,ADM,Archer Daniels Midland,Consumer Staples,Consumer Staples,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ADP,ADP,Automatic Data Processing,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ADSK,ADSK,Autodesk,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AEE,AEE,Ameren,Utilities,Utilities,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AEHR,AEHR,AEHR TEST SYSTEMS,Information Technology,semiconductor_services,tier2_supply_chain_supplement,,,AEHR,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AEP,AEP,American Electric Power,Utilities,Utilities,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AES,AES,AES Corporation,Utilities,Utilities,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AFL,AFL,Aflac,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AIG,AIG,American International Group,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AIZ,AIZ,Assurant,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AJG,AJG,Arthur J. Gallagher & Co.,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AKAM,AKAM,Akamai Technologies,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ALB,ALB,Albemarle Corporation,Materials,Materials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ALGN,ALGN,Align Technology,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ALL,ALL,Allstate,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ALLE,ALLE,Allegion,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ALNY,ALNY,"ALNYLAM PHARMACEUTICALS, INC.",Health Care,biotechnology,tier2_supply_chain_supplement,,,ALNY,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMAT,AMAT,Applied Materials,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMCR,AMCR,Amcor,Materials,Materials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMD,AMD,Advanced Micro Devices,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AME,AME,Ametek,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMGN,AMGN,Amgen,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMKR,AMKR,"AMKOR TECHNOLOGY, INC.",Information Technology,semiconductor_services,tier2_supply_chain_supplement,,,AMKR,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMP,AMP,Ameriprise Financial,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMT,AMT,American Tower,Real Estate,Real Estate,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AMZN,AMZN,Amazon,Consumer Discretionary,Consumer Discretionary,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ANET,ANET,Arista Networks,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AON,AON,Aon plc,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AOS,AOS,A. O. Smith,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
APA,APA,APA Corporation,Energy,Energy,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
APD,APD,Air Products,Materials,Materials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
APH,APH,Amphenol,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
APO,APO,Apollo Global Management,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
APP,APP,AppLovin,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
APTV,APTV,Aptiv,Consumer Discretionary,Consumer Discretionary,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ARE,ARE,Alexandria Real Estate Equities,Real Estate,Real Estate,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ARES,ARES,Ares Management,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ARGX,ARGX,ARGENX SE,Health Care,biotechnology,tier2_supply_chain_supplement,,,ARGX,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ARM,ARM,ARM HOLDINGS PLC /UK,Information Technology,semiconductor_ip,tier2_supply_chain_supplement,,,ARM,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ARRY,ARRY,"Array Technologies, Inc.",Industrials,solar_infrastructure,tier2_supply_chain_supplement,,,ARRY,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ASML,ASML,ASML HOLDING NV,Information Technology,semiconductor_equipment,tier2_supply_chain_supplement,,,ASML,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
ATO,ATO,Atmos Energy,Utilities,Utilities,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AVB,AVB,AvalonBay Communities,Real Estate,Real Estate,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AVGO,AVGO,Broadcom,Information Technology,Information Technology,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AVY,AVY,Avery Dennison,Materials,Materials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AWK,AWK,American Water Works,Utilities,Utilities,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AXON,AXON,Axon Enterprise,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AXP,AXP,American Express,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AZN,AZN,ASTRAZENECA PLC,Health Care,pharmaceuticals,tier2_supply_chain_supplement,,,AZN,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
AZO,AZO,AutoZone,Consumer Discretionary,Consumer Discretionary,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BA,BA,Boeing,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BAC,BAC,Bank of America,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BALL,BALL,Ball Corporation,Materials,Materials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BAX,BAX,Baxter International,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BBY,BBY,Best Buy,Consumer Discretionary,Consumer Discretionary,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BDX,BDX,Becton Dickinson,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BE,BE,Bloom Energy Corp,Industrials,fuel_cells_power,tier2_supply_chain_supplement,,,BE,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BEN,BEN,Franklin Resources,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BF-B,BF-B,Brown–Forman,Consumer Staples,Consumer Staples,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BG,BG,Bunge Global,Consumer Staples,Consumer Staples,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BHP,BHP,BHP Group Ltd,Materials,mining_metals,tier2_supply_chain_supplement,,,BHP,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BIIB,BIIB,Biogen,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BILL,BILL,"BILL Holdings, Inc.",Information Technology,fintech_software,tier2_supply_chain_supplement,,,BILL,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BK,BK,BNY Mellon,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BKNG,BKNG,Booking Holdings,Consumer Discretionary,Consumer Discretionary,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BKR,BKR,Baker Hughes,Energy,Energy,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BLDR,BLDR,Builders FirstSource,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BLK,BLK,BlackRock,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BMRN,BMRN,BIOMARIN PHARMACEUTICAL INC,Health Care,biotechnology,tier2_supply_chain_supplement,,,BMRN,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BMY,BMY,Bristol Myers Squibb,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BNTX,BNTX,BioNTech SE,Health Care,biotechnology,tier2_supply_chain_supplement,,,BNTX,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BR,BR,Broadridge Financial Solutions,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BRK-B,BRK-B,Berkshire Hathaway,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BRO,BRO,Brown & Brown,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BSX,BSX,Boston Scientific,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BWXT,BWXT,"BWX Technologies, Inc.",Industrials,nuclear_components,tier2_supply_chain_supplement,,,BWXT,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BX,BX,Blackstone Inc.,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
BXP,BXP,"BXP, Inc.",Real Estate,Real Estate,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
C,C,Citigroup,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CAG,CAG,Conagra Brands,Consumer Staples,Consumer Staples,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CAH,CAH,Cardinal Health,Health Care,Health Care,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CAMT,CAMT,CAMTEK LTD,Information Technology,semiconductor_equipment,tier2_supply_chain_supplement,,,CAMT,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CARR,CARR,Carrier Global,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CASY,CASY,Casey's,Consumer Staples,Consumer Staples,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CAT,CAT,Caterpillar Inc.,Industrials,Industrials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full78_base,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CB,CB,Chubb Limited,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent|current_full238|full128_us_addition|sector_depth_pack,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CBOE,CBOE,Cboe Global Markets,Financials,Financials,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CBRE,CBRE,CBRE Group,Real Estate,Real Estate,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CCI,CCI,Crown Castle,Real Estate,Real Estate,tier1_sp500_plus_current,,,,USD,us_listed_or_adr,true,false,sp500_constituent,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
CCJ,CCJ,CAMECO CORP,Energy,uranium,tier2_supply_chain_supplement,,,CCJ,USD,us_listed_or_adr,true,false,tier2_supply_chain_supplement,market_snapshot_context_only; provider_symbol_candidate; do_not_replace_company_filed_financial_facts
